Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
14/04/23,XP,SOMA3,Compra,9,8.22,B3I,Confirmada
28/04/23,XP,SOMA3,Compra,13,8.03,B3I,Confirmada
03/05/23,XP,EQTL1,Compra,1,0.00,B3I,Confirmada
15/05/23,XP,FRAS3,Compra,47,10.99,B3I,Confirmada
24/05/23,XP,FRAS3,Compra,36,11.60,B3I,Confirmada
30/05/23,XP,TFCO4,Compra,40,10.48,B3I,Confirmada
31/05/23,XP,EQTL1,Venda,1,0.00,B3I,Confirmada
06/06/23,XP,TFCO4,Compra,44,11.91,B3I,Confirmada
16/06/23,XP,TFCO4,Compra,22,11.98,B3I,Confirmada
19/06/23,Itaú,AGRO3,Compra,1,24.90,B3I,Confirmada
19/06/23,Itaú,AGRO3,Compra,1,24.89,B3I,Confirmada
19/06/23,Itaú,AGRO3,Compra,8,24.92,B3I,Confirmada
23/06/23,XP,FRAS3,Compra,9,12.74,B3I,Confirmada
11/07/23,Itaú,PRIO3,Compra,7,39.53,B3I,Confirmada
13/07/23,XP,KLBN4,Venda,600,4.29,B3I,Confirmada
13/07/23,XP,TIMS3,Compra,200,14.37,B3I,Confirmada
13/07/23,XP,KLBN4,Venda,43,4.29,B3I,Confirmada
21/07/23,XP,SQIA3,Venda,28,26.72,B3I,Confirmada
25/07/23,XP,FRAS3,Compra,71,13.30,B3I,Confirmada
01/08/23,Itaú,FIQE3,Compra,20,4.17,B3I,Confirmada
10/08/23,XP,SBFG3,Venda,100,10.00,B3I,Confirmada
10/08/23,XP,SBFG3,Venda,48,9.99,B3I,Confirmada
25/08/23,XP,SQIA3,Venda,93,27.10,B3I,Confirmada
25/08/23,XP,SQIA3,Venda,100,27.12,B3I,Confirmada
28/08/23,XP,CSUD3,Compra,74,15.69,B3I,Confirmada
28/08/23,XP,CSUD3,Compra,100,15.37,B3I,Confirmada
29/08/23,XP,MULT3,Compra,100,25.86,B3I,Confirmada
20/09/23,Itaú,TFCO4,Compra,100,12.64,B3I,Confirmada
20/09/23,Itaú,FIQE3,Compra,100,3.85,B3I,Confirmada
22/09/23,XP,PRIO3,Compra,9,46.47,B3I,Confirmada
